机组序号	第一段功率(MW)	第二段功率(MW)	第三段功率(MW)	第四段功率(MW)	第五段功率(MW)
1              3.6              3.6              3.6              3.6              3.6
2              3.6              3.6              3.6              3.6              3.6
3              3.6              3.6              3.6              3.6              3.6
4              60              60              60              60              60
5              36              36              36              36              36
6              3.6              3.6              3.6              3.6              3.6
7              12              12              12              12              12
8              3.6              3.6              3.6              3.6              3.6
9              3.6              3.6              3.6              3.6              3.6
10              36              36              36              36              36
11              42              42              42              42              42
12              3.6              3.6              3.6              3.6              3.6
13              3.6              3.6              3.6              3.6              3.6
14              12              12              12              12              12
15              3.6              3.6              3.6              3.6              3.6
16              12              12              12              12              12
17              3.6              3.6              3.6              3.6              3.6
18              3.6              3.6              3.6              3.6              3.6
19              12              12              12              12              12
20              30              30              30              30              30
21              30              30              30              30              30
22              12              12              12              12              12
23              12              12              12              12              12
24              24              24              24              24              24
25              24              24              24              24              24
26              12              12              12              12              12
27              50.4              50.4              50.4              50.4              50.4
28              50.4              50.4              50.4              50.4              50.4
29              36              36              36              36              36
30              9.6              9.6              9.6              9.6              9.6
31              3.6              3.6              3.6              3.6              3.6
32              3.6              3.6              3.6              3.6              3.6
33              2.4              2.4              2.4              2.4              2.4
34              12              12              12              12              12
35              12              12              12              12              12
36              60              60              60              60              60
37              12              12              12              12              12
38              3.6              3.6              3.6              3.6              3.6
39              78              78              78              78              78
40              100              100              100              100              100
41              2.4              2.4              2.4              2.4              2.4
42              6              6              6              6              6
43              36              36              36              36              36
44              36              36              36              36              36
45              36              36              36              36              36
46              2.4              2.4              2.4              2.4              2.4
47              12              12              12              12              12
48              12              12              12              12              12
49              2.4              2.4              2.4              2.4              2.4
50              6              6              6              6              6
51              12              12              12              12              12
52              12              12              12              12              12
53              12              12              12              12              12
54              12              12              12              12              12
55              3.6              3.6              3.6              3.6              3.6
56              3.6              3.6              3.6              3.6              3.6
57              3.6              3.6              3.6              3.6              3.6
58              60              60              60              60              60
59              36              36              36              36              36
60              3.6              3.6              3.6              3.6              3.6
61              12              12              12              12              12
62              3.6              3.6              3.6              3.6              3.6
63              3.6              3.6              3.6              3.6              3.6
64              36              36              36              36              36
65              42              42              42              42              42
66              3.6              3.6              3.6              3.6              3.6
67              3.6              3.6              3.6              3.6              3.6
68              12              12              12              12              12
69              3.6              3.6              3.6              3.6              3.6
70              12              12              12              12              12
71              3.6              3.6              3.6              3.6              3.6
72              3.6              3.6              3.6              3.6              3.6
73              12              12              12              12              12
74              30              30              30              30              30
75              30              30              30              30              30
76              12              12              12              12              12
77              12              12              12              12              12
78              24              24              24              24              24
79              24              24              24              24              24
80              12              12              12              12              12
81              50.4              50.4              50.4              50.4              50.4
82              50.4              50.4              50.4              50.4              50.4
83              36              36              36              36              36
84              9.6              9.6              9.6              9.6              9.6
85              3.6              3.6              3.6              3.6              3.6
86              3.6              3.6              3.6              3.6              3.6
87              2.4              2.4              2.4              2.4              2.4
88              12              12              12              12              12
89              12              12              12              12              12
90              60              60              60              60              60
91              12              12              12              12              12
92              3.6              3.6              3.6              3.6              3.6
93              78              78              78              78              78
94              100              100              100              100              100
95              2.4              2.4              2.4              2.4              2.4
96              6              6              6              6              6
97              36              36              36              36              36
98              36              36              36              36              36
99              36              36              36              36              36
100              2.4              2.4              2.4              2.4              2.4
101              12              12              12              12              12
102              12              12              12              12              12
103              2.4              2.4              2.4              2.4              2.4
104              6              6              6              6              6
105              12              12              12              12              12
106              12              12              12              12              12
107              12              12              12              12              12
108              12              12              12              12              12
109              3.6              3.6              3.6              3.6              3.6
110              3.6              3.6              3.6              3.6              3.6
111              3.6              3.6              3.6              3.6              3.6
112              60              60              60              60              60
113              36              36              36              36              36
114              3.6              3.6              3.6              3.6              3.6
115              12              12              12              12              12
116              3.6              3.6              3.6              3.6              3.6
117              3.6              3.6              3.6              3.6              3.6
118              36              36              36              36              36
119              42              42              42              42              42
120              3.6              3.6              3.6              3.6              3.6
121              3.6              3.6              3.6              3.6              3.6
122              12              12              12              12              12
123              3.6              3.6              3.6              3.6              3.6
124              12              12              12              12              12
125              3.6              3.6              3.6              3.6              3.6
126              3.6              3.6              3.6              3.6              3.6
127              12              12              12              12              12
128              30              30              30              30              30
129              30              30              30              30              30
130              12              12              12              12              12
131              12              12              12              12              12
132              24              24              24              24              24
133              24              24              24              24              24
134              12              12              12              12              12
135              50.4              50.4              50.4              50.4              50.4
136              50.4              50.4              50.4              50.4              50.4
137              36              36              36              36              36
138              9.6              9.6              9.6              9.6              9.6
139              3.6              3.6              3.6              3.6              3.6
140              3.6              3.6              3.6              3.6              3.6
141              2.4              2.4              2.4              2.4              2.4
142              12              12              12              12              12
143              12              12              12              12              12
144              60              60              60              60              60
145              12              12              12              12              12
146              3.6              3.6              3.6              3.6              3.6
147              78              78              78              78              78
148              100              100              100              100              100
149              2.4              2.4              2.4              2.4              2.4
150              6              6              6              6              6
151              36              36              36              36              36
152              36              36              36              36              36
153              36              36              36              36              36
154              2.4              2.4              2.4              2.4              2.4
155              12              12              12              12              12
156              12              12              12              12              12
157              2.4              2.4              2.4              2.4              2.4
158              6              6              6              6              6
159              12              12              12              12              12
160              12              12              12              12              12
161              12              12              12              12              12
162              12              12              12              12              12
163              3.6              3.6              3.6              3.6              3.6
164              3.6              3.6              3.6              3.6              3.6
165              3.6              3.6              3.6              3.6              3.6
166              60              60              60              60              60
167              36              36              36              36              36
168              3.6              3.6              3.6              3.6              3.6
169              12              12              12              12              12
170              3.6              3.6              3.6              3.6              3.6
171              3.6              3.6              3.6              3.6              3.6
172              36              36              36              36              36
173              42              42              42              42              42
174              3.6              3.6              3.6              3.6              3.6
175              3.6              3.6              3.6              3.6              3.6
176              12              12              12              12              12
177              3.6              3.6              3.6              3.6              3.6
178              12              12              12              12              12
179              3.6              3.6              3.6              3.6              3.6
180              3.6              3.6              3.6              3.6              3.6
181              12              12              12              12              12
182              30              30              30              30              30
183              30              30              30              30              30
184              12              12              12              12              12
185              12              12              12              12              12
186              24              24              24              24              24
187              24              24              24              24              24
188              12              12              12              12              12
189              50.4              50.4              50.4              50.4              50.4
190              50.4              50.4              50.4              50.4              50.4
191              36              36              36              36              36
192              9.6              9.6              9.6              9.6              9.6
193              3.6              3.6              3.6              3.6              3.6
194              3.6              3.6              3.6              3.6              3.6
195              2.4              2.4              2.4              2.4              2.4
196              12              12              12              12              12
197              12              12              12              12              12
198              60              60              60              60              60
199              12              12              12              12              12
200              3.6              3.6              3.6              3.6              3.6
201              78              78              78              78              78
202              100              100              100              100              100
203              2.4              2.4              2.4              2.4              2.4
204              6              6              6              6              6
205              36              36              36              36              36
206              36              36              36              36              36
207              36              36              36              36              36
208              2.4              2.4              2.4              2.4              2.4
209              12              12              12              12              12
210              12              12              12              12              12
211              2.4              2.4              2.4              2.4              2.4
212              6              6              6              6              6
213              12              12              12              12              12
214              12              12              12              12              12
215              12              12              12              12              12
216              12              12              12              12              12
217              3.6              3.6              3.6              3.6              3.6
218              3.6              3.6              3.6              3.6              3.6
219              3.6              3.6              3.6              3.6              3.6
220              60              60              60              60              60
221              36              36              36              36              36
222              3.6              3.6              3.6              3.6              3.6
223              12              12              12              12              12
224              3.6              3.6              3.6              3.6              3.6
225              3.6              3.6              3.6              3.6              3.6
226              36              36              36              36              36
227              42              42              42              42              42
228              3.6              3.6              3.6              3.6              3.6
229              3.6              3.6              3.6              3.6              3.6
230              12              12              12              12              12
231              3.6              3.6              3.6              3.6              3.6
232              12              12              12              12              12
233              3.6              3.6              3.6              3.6              3.6
234              3.6              3.6              3.6              3.6              3.6
235              12              12              12              12              12
236              30              30              30              30              30
237              30              30              30              30              30
238              12              12              12              12              12
239              12              12              12              12              12
240              24              24              24              24              24
241              24              24              24              24              24
242              12              12              12              12              12
243              50.4              50.4              50.4              50.4              50.4
244              50.4              50.4              50.4              50.4              50.4
245              36              36              36              36              36
246              9.6              9.6              9.6              9.6              9.6
247              3.6              3.6              3.6              3.6              3.6
248              3.6              3.6              3.6              3.6              3.6
249              2.4              2.4              2.4              2.4              2.4
250              12              12              12              12              12
251              12              12              12              12              12
252              60              60              60              60              60
253              12              12              12              12              12
254              3.6              3.6              3.6              3.6              3.6
255              78              78              78              78              78
256              100              100              100              100              100
257              2.4              2.4              2.4              2.4              2.4
258              6              6              6              6              6
259              36              36              36              36              36
260              36              36              36              36              36
261              36              36              36              36              36
262              2.4              2.4              2.4              2.4              2.4
263              12              12              12              12              12
264              12              12              12              12              12
265              2.4              2.4              2.4              2.4              2.4
266              6              6              6              6              6
267              12              12              12              12              12
268              12              12              12              12              12
269              12              12              12              12              12
270              12              12              12              12              12
271              3.6              3.6              3.6              3.6              3.6
272              3.6              3.6              3.6              3.6              3.6
273              3.6              3.6              3.6              3.6              3.6
274              60              60              60              60              60
275              36              36              36              36              36
276              3.6              3.6              3.6              3.6              3.6
277              12              12              12              12              12
278              3.6              3.6              3.6              3.6              3.6
279              3.6              3.6              3.6              3.6              3.6
280              36              36              36              36              36
281              42              42              42              42              42
282              3.6              3.6              3.6              3.6              3.6
283              3.6              3.6              3.6              3.6              3.6
284              12              12              12              12              12
285              3.6              3.6              3.6              3.6              3.6
286              12              12              12              12              12
287              3.6              3.6              3.6              3.6              3.6
288              3.6              3.6              3.6              3.6              3.6
289              12              12              12              12              12
290              30              30              30              30              30
291              30              30              30              30              30
292              12              12              12              12              12
293              12              12              12              12              12
294              24              24              24              24              24
295              24              24              24              24              24
296              12              12              12              12              12
297              50.4              50.4              50.4              50.4              50.4
298              50.4              50.4              50.4              50.4              50.4
299              36              36              36              36              36
300              9.6              9.6              9.6              9.6              9.6
301              3.6              3.6              3.6              3.6              3.6
302              3.6              3.6              3.6              3.6              3.6
303              2.4              2.4              2.4              2.4              2.4
304              12              12              12              12              12
305              12              12              12              12              12
306              60              60              60              60              60
307              12              12              12              12              12
308              3.6              3.6              3.6              3.6              3.6
309              78              78              78              78              78
310              100              100              100              100              100
311              2.4              2.4              2.4              2.4              2.4
312              6              6              6              6              6
313              36              36              36              36              36
314              36              36              36              36              36
315              36              36              36              36              36
316              2.4              2.4              2.4              2.4              2.4
317              12              12              12              12              12
318              12              12              12              12              12
319              2.4              2.4              2.4              2.4              2.4
320              6              6              6              6              6
321              12              12              12              12              12
322              12              12              12              12              12
323              12              12              12              12              12
324              12              12              12              12              12
325              61              61              61              61              61
326              61              61              61              61              61
327              22              22              22              22              22
328              22              22              22              22              22
329              27.4              27.4              27.4              27.4              27.4
330              12              12              12              12              12
331              12              12              12              12              12
332              9              9              9              9              9
333              9              9              9              9              9
334              9              9              9              9              9
335              61              61              61              61              61
336              61              61              61              61              61
337              22              22              22              22              22
338              22              22              22              22              22
339              27.4              27.4              27.4              27.4              27.4
340              12              12              12              12              12
341              12              12              12              12              12
342              9              9              9              9              9
343              9              9              9              9              9
344              9              9              9              9              9
345              61              61              61              61              61
346              61              61              61              61              61
347              22              22              22              22              22
348              22              22              22              22              22
349              27.4              27.4              27.4              27.4              27.4
350              12              12              12              12              12
351              12              12              12              12              12
352              9              9              9              9              9
353              9              9              9              9              9
354              9              9              9              9              9
355              61              61              61              61              61
356              61              61              61              61              61
357              22              22              22              22              22
358              22              22              22              22              22
359              27.4              27.4              27.4              27.4              27.4
360              12              12              12              12              12
361              12              12              12              12              12
362              9              9              9              9              9
363              9              9              9              9              9
364              9              9              9              9              9
365              61              61              61              61              61
366              61              61              61              61              61
367              22              22              22              22              22
368              22              22              22              22              22
369              27.4              27.4              27.4              27.4              27.4
370              12              12              12              12              12
371              12              12              12              12              12
372              9              9              9              9              9
373              9              9              9              9              9
374              9              9              9              9              9
375              61              61              61              61              61
376              61              61              61              61              61
377              22              22              22              22              22
378              22              22              22              22              22
379              27.4              27.4              27.4              27.4              27.4
380              12              12              12              12              12
381              12              12              12              12              12
382              9              9              9              9              9
383              9              9              9              9              9
384              9              9              9              9              9
385              61              61              61              61              61
386              61              61              61              61              61
387              22              22              22              22              22
388              22              22              22              22              22
389              27.4              27.4              27.4              27.4              27.4
390              12              12              12              12              12
391              12              12              12              12              12
392              9              9              9              9              9
393              9              9              9              9              9
394              9              9              9              9              9
395              61              61              61              61              61
396              61              61              61              61              61
397              22              22              22              22              22
398              22              22              22              22              22
399              27.4              27.4              27.4              27.4              27.4
400              12              12              12              12              12
401              12              12              12              12              12
402              9              9              9              9              9
403              9              9              9              9              9
404              9              9              9              9              9
405              61              61              61              61              61
406              61              61              61              61              61
407              22              22              22              22              22
408              22              22              22              22              22
409              27.4              27.4              27.4              27.4              27.4
410              12              12              12              12              12
411              12              12              12              12              12
412              9              9              9              9              9
413              9              9              9              9              9
414              9              9              9              9              9
415              61              61              61              61              61
416              61              61              61              61              61
417              22              22              22              22              22
418              22              22              22              22              22
419              27.4              27.4              27.4              27.4              27.4
420              12              12              12              12              12
421              12              12              12              12              12
422              9              9              9              9              9
423              9              9              9              9              9
424              9              9              9              9              9
425              61              61              61              61              61
426              61              61              61              61              61
427              22              22              22              22              22
428              22              22              22              22              22
429              27.4              27.4              27.4              27.4              27.4
430              12              12              12              12              12
431              12              12              12              12              12
432              9              9              9              9              9
433              9              9              9              9              9
434              9              9              9              9              9
435              61              61              61              61              61
436              61              61              61              61              61
437              22              22              22              22              22
438              22              22              22              22              22
439              27.4              27.4              27.4              27.4              27.4
440              12              12              12              12              12
441              12              12              12              12              12
442              9              9              9              9              9
443              9              9              9              9              9
444              9              9              9              9              9
445              61              61              61              61              61
446              61              61              61              61              61
447              22              22              22              22              22
448              22              22              22              22              22
449              27.4              27.4              27.4              27.4              27.4
450              12              12              12              12              12
451              12              12              12              12              12
452              9              9              9              9              9
453              9              9              9              9              9
454              9              9              9              9              9
455              61              61              61              61              61
456              61              61              61              61              61
457              22              22              22              22              22
458              22              22              22              22              22
459              27.4              27.4              27.4              27.4              27.4
460              12              12              12              12              12
461              12              12              12              12              12
462              9              9              9              9              9
463              9              9              9              9              9
464              9              9              9              9              9
465              61              61              61              61              61
466              61              61              61              61              61
467              22              22              22              22              22
468              22              22              22              22              22
469              27.4              27.4              27.4              27.4              27.4
470              12              12              12              12              12
471              12              12              12              12              12
472              9              9              9              9              9
473              9              9              9              9              9
474              9              9              9              9              9
475              61              61              61              61              61
476              61              61              61              61              61
477              22              22              22              22              22
478              22              22              22              22              22
479              27.4              27.4              27.4              27.4              27.4
480              12              12              12              12              12
481              12              12              12              12              12
482              9              9              9              9              9
483              9              9              9              9              9
484              9              9              9              9              9
485              61              61              61              61              61
486              61              61              61              61              61
487              22              22              22              22              22
488              22              22              22              22              22
489              27.4              27.4              27.4              27.4              27.4
490              12              12              12              12              12
491              12              12              12              12              12
492              9              9              9              9              9
493              9              9              9              9              9
494              9              9              9              9              9
495              61              61              61              61              61
496              61              61              61              61              61
497              22              22              22              22              22
