机组序号	第0段价格(元)	第一段价格(元)	第二段价格(元)	第三段价格(元)	第四段价格(元)	第五段价格(元)	第六段价格(元)
1                 0                 3439.3                 4437.46                 5439.19                 6444.5                 7453.37                 8465.82
2                 0                 3565.98                 4625.66                 5687.66                 6751.96                 7818.56                 8887.48
3                 0                 1032.8                 1400.73                 1770.59                 2142.39                 2516.13                 2891.8
4                 0                 1010.84                 1376.72                 1744.64                 2114.61                 2486.61                 2860.66
5                 0                 944.987                 1493.21                 2047.4                 2607.58                 3173.73                 3745.85
6                 0                 818.048                 1089.61                 1363.22                 1638.89                 1916.6                 2196.37
7                 0                 1178.44                 1517.2                 1858.23                 2201.54                 2547.12                 2894.98
8                 0                 919.613                 1153.97                 1389                 1624.69                 1861.06                 2098.09
9                 0                 937.922                 1183.93                 1430.3                 1677.03                 1924.12                 2171.57
10                 0                 948.073                 1198.63                 1449.48                 1700.6                 1952                 2203.68
11                 0                 3439.3                 4437.46                 5439.19                 6444.5                 7453.37                 8465.82
12                 0                 3565.98                 4625.66                 5687.66                 6751.96                 7818.56                 8887.48
13                 0                 1032.8                 1400.73                 1770.59                 2142.39                 2516.13                 2891.8
14                 0                 1010.84                 1376.72                 1744.64                 2114.61                 2486.61                 2860.66
15                 0                 944.987                 1493.21                 2047.4                 2607.58                 3173.73                 3745.85
16                 0                 818.048                 1089.61                 1363.22                 1638.89                 1916.6                 2196.37
17                 0                 1178.44                 1517.2                 1858.23                 2201.54                 2547.12                 2894.98
18                 0                 919.613                 1153.97                 1389                 1624.69                 1861.06                 2098.09
19                 0                 937.922                 1183.93                 1430.3                 1677.03                 1924.12                 2171.57
20                 0                 948.073                 1198.63                 1449.48                 1700.6                 1952                 2203.68
21                 0                 3439.3                 4437.46                 5439.19                 6444.5                 7453.37                 8465.82
22                 0                 3565.98                 4625.66                 5687.66                 6751.96                 7818.56                 8887.48
23                 0                 1032.8                 1400.73                 1770.59                 2142.39                 2516.13                 2891.8
24                 0                 1010.84                 1376.72                 1744.64                 2114.61                 2486.61                 2860.66
25                 0                 944.987                 1493.21                 2047.4                 2607.58                 3173.73                 3745.85
26                 0                 818.048                 1089.61                 1363.22                 1638.89                 1916.6                 2196.37
27                 0                 1178.44                 1517.2                 1858.23                 2201.54                 2547.12                 2894.98
28                 0                 919.613                 1153.97                 1389                 1624.69                 1861.06                 2098.09
29                 0                 937.922                 1183.93                 1430.3                 1677.03                 1924.12                 2171.57
30                 0                 948.073                 1198.63                 1449.48                 1700.6                 1952                 2203.68
31                 0                 3439.3                 4437.46                 5439.19                 6444.5                 7453.37                 8465.82
32                 0                 3565.98                 4625.66                 5687.66                 6751.96                 7818.56                 8887.48
33                 0                 1032.8                 1400.73                 1770.59                 2142.39                 2516.13                 2891.8
34                 0                 1010.84                 1376.72                 1744.64                 2114.61                 2486.61                 2860.66
35                 0                 944.987                 1493.21                 2047.4                 2607.58                 3173.73                 3745.85
36                 0                 818.048                 1089.61                 1363.22                 1638.89                 1916.6                 2196.37
37                 0                 1178.44                 1517.2                 1858.23                 2201.54                 2547.12                 2894.98
38                 0                 919.613                 1153.97                 1389                 1624.69                 1861.06                 2098.09
39                 0                 937.922                 1183.93                 1430.3                 1677.03                 1924.12                 2171.57
40                 0                 948.073                 1198.63                 1449.48                 1700.6                 1952                 2203.68
41                 0                 3439.3                 4437.46                 5439.19                 6444.5                 7453.37                 8465.82
42                 0                 3565.98                 4625.66                 5687.66                 6751.96                 7818.56                 8887.48
43                 0                 1032.8                 1400.73                 1770.59                 2142.39                 2516.13                 2891.8
44                 0                 1010.84                 1376.72                 1744.64                 2114.61                 2486.61                 2860.66
45                 0                 944.987                 1493.21                 2047.4                 2607.58                 3173.73                 3745.85
46                 0                 818.048                 1089.61                 1363.22                 1638.89                 1916.6                 2196.37
47                 0                 1178.44                 1517.2                 1858.23                 2201.54                 2547.12                 2894.98
48                 0                 919.613                 1153.97                 1389                 1624.69                 1861.06                 2098.09
49                 0                 937.922                 1183.93                 1430.3                 1677.03                 1924.12                 2171.57
50                 0                 948.073                 1198.63                 1449.48                 1700.6                 1952                 2203.68
51                 0                 3439.3                 4437.46                 5439.19                 6444.5                 7453.37                 8465.82
52                 0                 3565.98                 4625.66                 5687.66                 6751.96                 7818.56                 8887.48
53                 0                 1032.8                 1400.73                 1770.59                 2142.39                 2516.13                 2891.8
