机组序号	所在节点	最大出力(MW)	最小出力(MW)	上爬坡率(MW/h)	下爬坡率 (MW/h)	最小开机时间(h)	最小停机时间(h)	启动成本（元）	"初始状态(1开机,0停机)"	初始出力(MW)	初始状态持续时间(h)
1             30             455             150             70             70             8             8             9000             0             0             8
2             31             455             150             60             60             8             8             10000             0             0             8
3             32             130             20             70             70             5             5             1100             0             0             5
4             33             130             20             70             70             5             5             1120             0             0             5
5             34             162             25             60             60             6             6             1800             0             0             6
6             35             80             20             70             70             3             3             340             0             0             3
7             36             85             25             70             70             3             3             520             0             0             3
8             37             55             10             60             60             1             1             60             0             0             1
9             38             55             10             60             60             1             1             60             0             0             1
10             39             55             10             60             60             1             1             60             0             0             1
11             69             455             150             70             70             8             8             9000             0             0             8
12             70             455             150             60             60             8             8             10000             0             0             8
13             71             130             20             70             70             5             5             1100             0             0             5
14             72             130             20             70             70             5             5             1120             0             0             5
15             73             162             25             60             60             6             6             1800             0             0             6
16             74             80             20             70             70             3             3             340             0             0             3
17             75             85             25             70             70             3             3             520             0             0             3
18             76             55             10             60             60             1             1             60             0             0             1
19             77             55             10             60             60             1             1             60             0             0             1
20             78             55             10             60             60             1             1             60             0             0             1
21             108             455             150             70             70             8             8             9000             0             0             8
22             109             455             150             60             60             8             8             10000             0             0             8
23             110             130             20             70             70             5             5             1100             0             0             5
24             111             130             20             70             70             5             5             1120             0             0             5
25             112             162             25             60             60             6             6             1800             0             0             6
26             113             80             20             70             70             3             3             340             0             0             3
27             114             85             25             70             70             3             3             520             0             0             3
28             115             55             10             60             60             1             1             60             0             0             1
29             116             55             10             60             60             1             1             60             0             0             1
30             117             55             10             60             60             1             1             60             0             0             1
31             147             455             150             70             70             8             8             9000             0             0             8
32             148             455             150             60             60             8             8             10000             0             0             8
33             149             130             20             70             70             5             5             1100             0             0             5
34             150             130             20             70             70             5             5             1120             0             0             5
35             151             162             25             60             60             6             6             1800             0             0             6
36             152             80             20             70             70             3             3             340             0             0             3
37             153             85             25             70             70             3             3             520             0             0             3
38             154             55             10             60             60             1             1             60             0             0             1
39             155             55             10             60             60             1             1             60             0             0             1
40             156             55             10             60             60             1             1             60             0             0             1
41             186             455             150             70             70             8             8             9000             0             0             8
42             187             455             150             60             60             8             8             10000             0             0             8
43             188             130             20             70             70             5             5             1100             0             0             5
44             189             130             20             70             70             5             5             1120             0             0             5
45             190             162             25             60             60             6             6             1800             0             0             6
46             191             80             20             70             70             3             3             340             0             0             3
47             192             85             25             70             70             3             3             520             0             0             3
48             193             55             10             60             60             1             1             60             0             0             1
49             194             55             10             60             60             1             1             60             0             0             1
