机组序号	第0段价格(元)	第一段价格(元)	第二段价格(元)	第三段价格(元)	第四段价格(元)	第五段价格(元)	第六段价格(元)
1           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
2           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
3           0           948.073           1198.63           1449.48           1700.6           1952           2203.68
4           0           3565.98           4625.66           5687.66           6751.96           7818.56           8887.48
5           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
6           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
7           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
8           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
9           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
10           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
11           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
12           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
13           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
14           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
15           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
16           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
17           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
18           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
19           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
20           0           944.987           1493.21           2047.4           2607.58           3173.73           3745.85
21           0           944.987           1493.21           2047.4           2607.58           3173.73           3745.85
22           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
23           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
24           0           944.987           1493.21           2047.4           2607.58           3173.73           3745.85
25           0           944.987           1493.21           2047.4           2607.58           3173.73           3745.85
26           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
27           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
28           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
29           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
30           0           1178.44           1517.2           1858.23           2201.54           2547.12           2894.98
31           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
32           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
33           0           948.073           1198.63           1449.48           1700.6           1952           2203.68
34           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
35           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
36           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
37           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
38           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
39           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
40           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
41           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
42           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
43           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
44           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
45           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
46           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
47           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
48           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
49           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
50           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
51           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
52           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
53           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
54           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
55           0           3439.3           4437.46           5439.19           6444.5           7453.37           8465.82
56           0           3565.98           4625.66           5687.66           6751.96           7818.56           8887.48
57           0           1032.8           1400.73           1770.59           2142.39           2516.13           2891.8
58           0           1010.84           1376.72           1744.64           2114.61           2486.61           2860.66
59           0           944.987           1493.21           2047.4           2607.58           3173.73           3745.85
60           0           818.048           1089.61           1363.22           1638.89           1916.6           2196.37
61           0           1178.44           1517.2           1858.23           2201.54           2547.12           2894.98
62           0           919.613           1153.97           1389           1624.69           1861.06           2098.09
63           0           937.922           1183.93           1430.3           1677.03           1924.12           2171.57
64           0           948.073           1198.63           1449.48           1700.6           1952           2203.68
