时段数	系统负荷大小（MW）
1           4845.22
2           4729.01
3           4598.24
4           4169.26
5           4693.47
6           5281.71
7           5783.58
8           6485.21
9           6880.43
10           7407.15
11           7503.86
12           7490.68
13           7085.15
14           6686.64
15           6810.77
16           6523.75
17           6296.61
18           6669.74
19           7116.42
20           7745.86
21           7522.79
22           6740.86
23           5999.51
24           5481.79
